Date,COST,DIS,MSFT,NKE
2012-01-01 00:00:00-05:00,82.2699966430664,38.900001525878906,29.530000686645508,25.997499465942383
2012-02-01 00:00:00-05:00,86.05999755859375,41.9900016784668,31.739999771118164,26.979999542236328
2012-03-01 00:00:00-05:00,90.80000305175781,43.779998779296875,32.2599983215332,27.110000610351562
2012-04-01 00:00:00-04:00,88.18000030517578,43.11000061035156,32.02000045776367,27.967500686645508
2012-05-01 00:00:00-04:00,86.38999938964844,45.709999084472656,29.190000534057617,27.045000076293945
2012-06-01 00:00:00-04:00,95.0,48.5,30.59000015258789,21.94499969482422
2012-07-01 00:00:00-04:00,96.18000030517578,49.13999938964844,29.469999313354492,23.337499618530273
2012-08-01 00:00:00-04:00,97.87000274658203,49.470001220703125,30.81999969482422,24.34000015258789
2012-09-01 00:00:00-04:00,100.16000366210938,52.279998779296875,29.760000228881836,23.727500915527344
2012-10-01 00:00:00-04:00,98.43000030517578,49.119998931884766,28.540000915527344,22.844999313354492
2012-11-01 00:00:00-04:00,103.91999816894531,49.65999984741211,26.6200008392334,24.3700008392334
2012-12-01 00:00:00-05:00,98.7300033569336,49.790000915527344,26.709999084472656,25.799999237060547
2013-01-01 00:00:00-05:00,102.33999633789062,53.880001068115234,27.450000762939453,27.024999618530273
2013-02-01 00:00:00-05:00,101.29000091552734,54.59000015258789,27.799999237060547,27.229999542236328
2013-03-01 00:00:00-05:00,106.11000061035156,56.79999923706055,28.610000610351562,29.5049991607666
2013-04-01 00:00:00-04:00,108.43000030517578,62.84000015258789,33.099998474121094,31.799999237060547
2013-05-01 00:00:00-04:00,109.62999725341797,63.08000183105469,34.900001525878906,30.829999923706055
2013-06-01 00:00:00-04:00,110.56999969482422,63.150001525878906,34.540000915527344,31.84000015258789
2013-07-01 00:00:00-04:00,117.41999816894531,64.6500015258789,31.84000015258789,31.459999084472656
2013-08-01 00:00:00-04:00,111.87000274658203,60.83000183105469,33.400001525878906,31.40999984741211
2013-09-01 00:00:00-04:00,115.16999816894531,64.48999786376953,33.279998779296875,36.31999969482422
2013-10-01 00:00:00-04:00,118.0,68.58999633789062,35.40999984741211,37.880001068115234
2013-11-01 00:00:00-04:00,125.43000030517578,70.54000091552734,38.130001068115234,39.56999969482422
2013-12-01 00:00:00-05:00,119.0199966430664,76.4000015258789,37.40999984741211,39.31999969482422
2014-01-01 00:00:00-05:00,112.36000061035156,72.61000061035156,37.84000015258789,36.42499923706055
2014-02-01 00:00:00-05:00,116.80000305175781,80.80999755859375,38.310001373291016,39.150001525878906
2014-03-01 00:00:00-05:00,111.68000030517578,80.06999969482422,40.9900016784668,36.93000030517578
2014-04-01 00:00:00-04:00,115.68000030517578,79.33999633789062,40.400001525878906,36.474998474121094
2014-05-01 00:00:00-04:00,116.0199966430664,84.01000213623047,40.939998626708984,38.45500183105469
2014-06-01 00:00:00-04:00,115.16000366210938,85.73999786376953,41.70000076293945,38.775001525878906
2014-07-01 00:00:00-04:00,117.54000091552734,85.87999725341797,43.15999984741211,38.564998626708984
2014-08-01 00:00:00-04:00,121.08000183105469,89.87999725341797,45.43000030517578,39.275001525878906
2014-09-01 00:00:00-04:00,125.31999969482422,89.02999877929688,46.36000061035156,44.599998474121094
2014-10-01 00:00:00-04:00,133.3699951171875,91.37999725341797,46.95000076293945,46.48500061035156
2014-11-01 00:00:00-04:00,142.1199951171875,92.51000213623047,47.810001373291016,49.64500045776367
2014-12-01 00:00:00-05:00,141.75,94.19000244140625,46.45000076293945,48.07500076293945
2015-01-01 00:00:00-05:00,142.99000549316406,90.95999908447266,40.400001525878906,46.125
2015-02-01 00:00:00-05:00,146.9600067138672,104.08000183105469,43.849998474121094,48.560001373291016
2015-03-01 00:00:00-05:00,151.5,104.88999938964844,40.65999984741211,50.165000915527344
2015-04-01 00:00:00-04:00,143.0500030517578,108.72000122070312,48.63999938964844,49.41999816894531
2015-05-01 00:00:00-04:00,142.58999633789062,110.37000274658203,46.86000061035156,50.834999084472656
2015-06-01 00:00:00-04:00,135.05999755859375,114.13999938964844,44.150001525878906,54.0099983215332
2015-07-01 00:00:00-04:00,145.3000030517578,120.0,46.70000076293945,57.61000061035156
2015-08-01 00:00:00-04:00,140.0500030517578,101.87999725341797,43.52000045776367,55.875
2015-09-01 00:00:00-04:00,144.57000732421875,102.19999694824219,44.2599983215332,61.48500061035156
2015-10-01 00:00:00-04:00,158.1199951171875,113.73999786376953,52.63999938964844,65.51499938964844
2015-11-01 00:00:00-04:00,161.4199981689453,113.47000122070312,54.349998474121094,66.13999938964844
2015-12-01 00:00:00-05:00,161.5,105.08000183105469,55.47999954223633,62.5
2016-01-01 00:00:00-05:00,151.1199951171875,95.81999969482422,55.09000015258789,62.0099983215332
2016-02-01 00:00:00-05:00,150.02999877929688,95.5199966430664,50.880001068115234,61.59000015258789
2016-03-01 00:00:00-05:00,157.5800018310547,99.30999755859375,55.22999954223633,61.470001220703125
2016-04-01 00:00:00-04:00,148.1300048828125,103.26000213623047,49.869998931884766,58.939998626708984
2016-05-01 00:00:00-04:00,148.77000427246094,99.22000122070312,53.0,55.220001220703125
2016-06-01 00:00:00-04:00,157.0399932861328,97.81999969482422,51.16999816894531,55.20000076293945
2016-07-01 00:00:00-04:00,167.22000122070312,95.94999694824219,56.68000030517578,55.5
2016-08-01 00:00:00-04:00,162.08999633789062,94.45999908447266,57.459999084472656,57.63999938964844
2016-09-01 00:00:00-04:00,152.50999450683594,92.86000061035156,57.599998474121094,52.650001525878906
