Date,COST,DIS,MSFT,NKE
2022-01-03 00:00:00+00:00,566.7100219726562,156.75999450683594,334.75,164.6699981689453
2022-01-04 00:00:00+00:00,564.22998046875,155.72999572753906,329.010009765625,166.38999938964844
2022-01-05 00:00:00+00:00,549.9199829101562,155.19000244140625,316.3800048828125,162.25
2022-01-06 00:00:00+00:00,549.7999877929688,156.89999389648438,313.8800048828125,161.0399932861328
2022-01-07 00:00:00+00:00,536.1799926757812,157.8300018310547,314.0400085449219,156.97000122070312
2022-01-10 00:00:00+00:00,518.7999877929688,156.60000610351562,314.2699890136719,150.44000244140625
2022-01-11 00:00:00+00:00,522.030029296875,157.88999938964844,314.9800109863281,150.3000030517578
2022-01-12 00:00:00+00:00,525.7999877929688,157.8000030517578,318.2699890136719,152.2100067138672
2022-01-13 00:00:00+00:00,516.8800048828125,155.44000244140625,304.79998779296875,149.58999633789062
2022-01-14 00:00:00+00:00,502.989990234375,151.94000244140625,310.20001220703125,148.17999267578125
2022-01-18 00:00:00+00:00,488.07000732421875,152.27000427246094,302.6499938964844,146.9499969482422
2022-01-19 00:00:00+00:00,490.1600036621094,150.11000061035156,303.3299865722656,145.11000061035156
2022-01-20 00:00:00+00:00,482.82000732421875,147.6199951171875,301.6000061035156,142.72999572753906
2022-01-21 00:00:00+00:00,481.6099853515625,137.3800048828125,296.0299987792969,142.9499969482422
2022-01-24 00:00:00+00:00,488.8999938964844,137.4600067138672,296.3699951171875,146.0
2022-01-25 00:00:00+00:00,477.32000732421875,136.50999450683594,288.489990234375,145.47999572753906
2022-01-26 00:00:00+00:00,483.4700012207031,133.60000610351562,296.7099914550781,143.99000549316406
2022-01-27 00:00:00+00:00,482.5199890136719,135.4199981689453,299.8399963378906,144.63999938964844
2022-01-28 00:00:00+00:00,492.42999267578125,138.6300048828125,308.260009765625,145.91000366210938
2022-01-31 00:00:00+00:00,505.1300048828125,142.97000122070312,310.9800109863281,148.07000732421875
2022-02-01 00:00:00+00:00,508.4100036621094,144.49000549316406,308.760009765625,148.22000122070312
2022-02-02 00:00:00+00:00,522.02001953125,142.6199951171875,313.4599914550781,148.7100067138672
2022-02-03 00:00:00+00:00,521.77001953125,140.02999877929688,301.25,145.30999755859375
2022-02-04 00:00:00+00:00,519.77001953125,142.02000427246094,305.94000244140625,145.38999938964844
2022-02-07 00:00:00+00:00,515.8900146484375,142.50999450683594,300.95001220703125,145.13999938964844
2022-02-08 00:00:00+00:00,521.1500244140625,142.47999572753906,304.55999755859375,143.52999877929688
2022-02-09 00:00:00+00:00,528.8300170898438,147.22999572753906,311.2099914550781,146.25999450683594
2022-02-10 00:00:00+00:00,518.47998046875,152.16000366210938,302.3800048828125,144.82000732421875
2022-02-11 00:00:00+00:00,509.6700134277344,149.47000122070312,295.0400085449219,140.17999267578125
2022-02-14 00:00:00+00:00,506.55999755859375,150.85000610351562,295.0,141.58999633789062
2022-02-15 00:00:00+00:00,513.9199829101562,154.72000122070312,300.4700012207031,145.5800018310547
2022-02-16 00:00:00+00:00,512.4000244140625,156.35000610351562,299.5,146.49000549316406
2022-02-17 00:00:00+00:00,515.010009765625,152.9499969482422,290.7300109863281,142.8000030517578
2022-02-18 00:00:00+00:00,512.6699829101562,151.36000061035156,287.92999267578125,142.9499969482422
2022-02-22 00:00:00+00:00,502.17999267578125,148.08999633789062,287.7200012207031,138.19000244140625
2022-02-23 00:00:00+00:00,495.260009765625,145.8699951171875,280.2699890136719,136.8300018310547
2022-02-24 00:00:00+00:00,505.5799865722656,149.39999389648438,294.5899963378906,137.1699981689453
2022-02-25 00:00:00+00:00,517.489990234375,149.52999877929688,297.30999755859375,138.8000030517578
2022-02-28 00:00:00+00:00,519.25,148.4600067138672,298.7900085449219,136.5500030517578
2022-03-01 00:00:00+00:00,522.9299926757812,145.6999969482422,294.95001220703125,132.22000122070312
2022-03-02 00:00:00+00:00,528.0,147.33999633789062,300.19000244140625,135.67999267578125
2022-03-03 00:00:00+00:00,533.0499877929688,145.57000732421875,295.9200134277344,133.97000122070312
2022-03-04 00:00:00+00:00,525.5,140.72000122070312,289.8599853515625,131.17999267578125
2022-03-07 00:00:00+00:00,528.52001953125,133.5,278.9100036621094,124.44000244140625
2022-03-08 00:00:00+00:00,523.3599853515625,131.75,275.8500061035156,121.20999908447266
2022-03-09 00:00:00+00:00,527.6500244140625,133.64999389648438,288.5,126.94999694824219
2022-03-10 00:00:00+00:00,532.719970703125,133.63999938964844,285.5899963378906,126.02999877929688
2022-03-11 00:00:00+00:00,527.4199829101562,131.75,280.07000732421875,122.62999725341797
2022-03-14 00:00:00+00:00,525.9500122070312,129.02999877929688,276.44000244140625,117.56999969482422
2022-03-15 00:00:00+00:00,542.3200073242188,134.1999969482422,287.1499938964844,119.4000015258789
2022-03-16 00:00:00+00:00,543.3900146484375,138.13999938964844,294.3900146484375,125.19000244140625
2022-03-17 00:00:00+00:00,552.7899780273438,139.47000122070312,295.2200012207031,127.41000366210938
2022-03-18 00:00:00+00:00,561.3499755859375,140.3000030517578,300.42999267578125,131.24000549316406
2022-03-21 00:00:00+00:00,555.530029296875,138.6199951171875,299.1600036621094,130.19000244140625
2022-03-22 00:00:00+00:00,559.4199829101562,140.11000061035156,304.05999755859375,133.08999633789062
2022-03-23 00:00:00+00:00,554.02001953125,137.63999938964844,299.489990234375,133.0
2022-03-24 00:00:00+00:00,558.1099853515625,138.9600067138672,304.1000061035156,132.0800018310547
2022-03-25 00:00:00+00:00,555.7100219726562,139.13999938964844,303.67999267578125,133.6999969482422
