Date,SPY
2022-06-15 00:00:00-04:00,379.20001220703125
2022-06-16 00:00:00-04:00,366.6499938964844
2022-06-17 00:00:00-04:00,365.8599853515625
2022-06-21 00:00:00-04:00,375.07000732421875
2022-06-22 00:00:00-04:00,374.3900146484375
2022-06-23 00:00:00-04:00,378.05999755859375
2022-06-24 00:00:00-04:00,390.0799865722656
2022-06-27 00:00:00-04:00,388.5899963378906
2022-06-28 00:00:00-04:00,380.6499938964844
2022-06-29 00:00:00-04:00,380.3399963378906
2022-06-30 00:00:00-04:00,377.25
2022-07-01 00:00:00-04:00,381.239990234375
2022-07-05 00:00:00-04:00,381.9599914550781
2022-07-06 00:00:00-04:00,383.25
2022-07-07 00:00:00-04:00,388.989990234375
2022-07-08 00:00:00-04:00,388.6700134277344
2022-07-11 00:00:00-04:00,384.2300109863281
2022-07-12 00:00:00-04:00,380.8299865722656
2022-07-13 00:00:00-04:00,378.8299865722656
2022-07-14 00:00:00-04:00,377.9100036621094
2022-07-15 00:00:00-04:00,385.1300048828125
2022-07-18 00:00:00-04:00,381.95001220703125
2022-07-19 00:00:00-04:00,392.2699890136719
2022-07-20 00:00:00-04:00,394.7699890136719
2022-07-21 00:00:00-04:00,398.7900085449219
2022-07-22 00:00:00-04:00,395.0899963378906
2022-07-25 00:00:00-04:00,395.57000732421875
2022-07-26 00:00:00-04:00,390.8900146484375
2022-07-27 00:00:00-04:00,401.0400085449219
2022-07-28 00:00:00-04:00,406.07000732421875
2022-07-29 00:00:00-04:00,411.989990234375
2022-08-01 00:00:00-04:00,410.7699890136719
2022-08-02 00:00:00-04:00,408.05999755859375
2022-08-03 00:00:00-04:00,414.45001220703125
2022-08-04 00:00:00-04:00,414.1700134277344
2022-08-05 00:00:00-04:00,413.4700012207031
2022-08-08 00:00:00-04:00,412.989990234375
2022-08-09 00:00:00-04:00,411.3500061035156
2022-08-10 00:00:00-04:00,419.989990234375
2022-08-11 00:00:00-04:00,419.989990234375
2022-08-12 00:00:00-04:00,427.1000061035156
2022-08-15 00:00:00-04:00,428.8599853515625
2022-08-16 00:00:00-04:00,429.70001220703125
2022-08-17 00:00:00-04:00,426.6499938964844
2022-08-18 00:00:00-04:00,427.8900146484375
2022-08-19 00:00:00-04:00,422.1400146484375
2022-08-22 00:00:00-04:00,413.3500061035156
2022-08-23 00:00:00-04:00,412.3500061035156
2022-08-24 00:00:00-04:00,413.6700134277344
2022-08-25 00:00:00-04:00,419.510009765625
2022-08-26 00:00:00-04:00,405.30999755859375
2022-08-29 00:00:00-04:00,402.6300048828125
2022-08-30 00:00:00-04:00,398.2099914550781
2022-08-31 00:00:00-04:00,395.17999267578125
2022-09-01 00:00:00-04:00,396.4200134277344
2022-09-02 00:00:00-04:00,392.239990234375
2022-09-06 00:00:00-04:00,390.760009765625
2022-09-07 00:00:00-04:00,397.7799987792969
2022-09-08 00:00:00-04:00,400.3800048828125
2022-09-09 00:00:00-04:00,406.6000061035156
2022-09-12 00:00:00-04:00,410.9700012207031
2022-09-13 00:00:00-04:00,393.1000061035156
2022-09-14 00:00:00-04:00,394.6000061035156
2022-09-15 00:00:00-04:00,390.1199951171875
2022-09-16 00:00:00-04:00,385.55999755859375
2022-09-19 00:00:00-04:00,388.54998779296875
2022-09-20 00:00:00-04:00,384.0899963378906
2022-09-21 00:00:00-04:00,377.3900146484375
2022-09-22 00:00:00-04:00,374.2200012207031
2022-09-23 00:00:00-04:00,367.95001220703125
2022-09-26 00:00:00-04:00,364.30999755859375
2022-09-27 00:00:00-04:00,363.3800048828125
2022-09-28 00:00:00-04:00,370.5299987792969
2022-09-29 00:00:00-04:00,362.7900085449219
2022-09-30 00:00:00-04:00,357.17999267578125
2022-10-03 00:00:00-04:00,366.6099853515625
2022-10-04 00:00:00-04:00,377.9700012207031
2022-10-05 00:00:00-04:00,377.0899963378906
2022-10-06 00:00:00-04:00,373.20001220703125
2022-10-07 00:00:00-04:00,362.7900085449219
2022-10-10 00:00:00-04:00,360.0199890136719
2022-10-11 00:00:00-04:00,357.739990234375
2022-10-12 00:00:00-04:00,356.55999755859375
2022-10-13 00:00:00-04:00,365.9700012207031
2022-10-14 00:00:00-04:00,357.6300048828125
2022-10-17 00:00:00-04:00,366.82000732421875
2022-10-18 00:00:00-04:00,371.1300048828125
2022-10-19 00:00:00-04:00,368.5
2022-10-20 00:00:00-04:00,365.4100036621094
2022-10-21 00:00:00-04:00,374.2900085449219
2022-10-24 00:00:00-04:00,378.8699951171875
2022-10-25 00:00:00-04:00,384.9200134277344
2022-10-26 00:00:00-04:00,382.0199890136719
2022-10-27 00:00:00-04:00,379.9800109863281
2022-10-28 00:00:00-04:00,389.0199890136719
2022-10-31 00:00:00-04:00,386.2099914550781
2022-11-01 00:00:00-04:00,384.5199890136719
2022-11-02 00:00:00-04:00,374.8699951171875
2022-11-03 00:00:00-04:00,371.010009765625
2022-11-04 00:00:00-04:00,376.3500061035156
2022-11-07 00:00:00-05:00,379.95001220703125
2022-11-08 00:00:00-05:00,382.0
2022-11-09 00:00:00-05:00,374.1300048828125
2022-11-10 00:00:00-05:00,394.69000244140625
2022-11-11 00:00:00-05:00,398.510009765625
2022-11-14 00:00:00-05:00,395.1199951171875
2022-11-15 00:00:00-05:00,398.489990234375
2022-11-16 00:00:00-05:00,395.45001220703125
2022-11-17 00:00:00-05:00,394.239990234375
2022-11-18 00:00:00-05:00,396.0299987792969
2022-11-21 00:00:00-05:00,394.5899963378906
2022-11-22 00:00:00-05:00,399.8999938964844
2022-11-23 00:00:00-05:00,402.4200134277344
2022-11-25 00:00:00-05:00,402.3299865722656
2022-11-28 00:00:00-05:00,395.9100036621094
2022-11-29 00:00:00-05:00,395.2300109863281
2022-11-30 00:00:00-05:00,407.67999267578125
2022-12-01 00:00:00-05:00,407.3800048828125
2022-12-02 00:00:00-05:00,406.9100036621094
2022-12-05 00:00:00-05:00,399.5899963378906
2022-12-06 00:00:00-05:00,393.8299865722656
2022-12-07 00:00:00-05:00,393.1600036621094
2022-12-08 00:00:00-05:00,396.239990234375
2022-12-09 00:00:00-05:00,393.2799987792969
2022-12-12 00:00:00-05:00,398.95001220703125
2022-12-13 00:00:00-05:00,401.9700012207031
2022-12-14 00:00:00-05:00,399.3999938964844
2022-12-15 00:00:00-05:00,389.6300048828125
2022-12-16 00:00:00-05:00,383.2699890136719
2022-12-19 00:00:00-05:00,380.0199890136719
2022-12-20 00:00:00-05:00,380.5400085449219
2022-12-21 00:00:00-05:00,386.2300109863281
2022-12-22 00:00:00-05:00,380.7200012207031
2022-12-23 00:00:00-05:00,382.9100036621094
2022-12-27 00:00:00-05:00,381.3999938964844
2022-12-28 00:00:00-05:00,376.6600036621094
2022-12-29 00:00:00-05:00,383.44000244140625
2022-12-30 00:00:00-05:00,382.42999267578125
